Nr,Datum,Zeit,Heim,Var.5,Gast,Tore,Punkte,Var.9,Var.10,season,team,league,place,points_won,points_lost
1,09.09.17,18:30,DJK Adler Königshof,NA,HC Wölfe Nordrhein,24:26,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
6,09.09.17,19:00,TV Rheinbach,NA,Bergischer Handball Club (BHC) II,27:24,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
7,09.09.17,19:45,Weidener TV,NA,TuSEM Essen II,29:28,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
2,09.09.17,20:00,SG Langenfeld,NA,TuS 82 Opladen,25:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
3,10.09.17,16:00,HSG Siebengebirge,NA,VfB Homberg,29:26,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
5,10.09.17,17:00,TV Jahn Köln-Wahn,NA,TSV Bonn rrh.,25:26,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
4,10.09.17,17:30,HSG Neuss/Düsseldorf II,NA,SG Ratingen 2011,23:28,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
13,16.09.17,18:00,SG Ratingen 2011,NA,TV Jahn Köln-Wahn,29:33,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
11,16.09.17,19:15,Bergischer Handball Club (BHC) II,NA,Weidener TV,27:24,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
15,16.09.17,19:15,TuS 82 Opladen,NA,HSG Siebengebirge,30:30,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
12,16.09.17,19:30,TSV Bonn rrh.,NA,TV Rheinbach,28:22,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
14,16.09.17,19:30,VfB Homberg,NA,HSG Neuss/Düsseldorf II,35:28,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
9,17.09.17,16:00,HC Wölfe Nordrhein,NA,TV Aldekerk,23:23,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
10,17.09.17,16:00,TuSEM Essen II,NA,DJK Adler Königshof,28:28,1:1,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
21,23.09.17,18:30,TV Jahn Köln-Wahn,NA,VfB Homberg,26:20,2:0,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
20,23.09.17,19:00,HSG Neuss/Düsseldorf II,NA,TuS 82 Opladen,29:30,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
22,23.09.17,19:00,TV Rheinbach,NA,SG Ratingen 2011,24:29,0:2,NA,NA,2017/2018,1. Herren,Nordrheinliga,2,35,11
